2019-03-20 22:20:46,326 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
2019-03-20 22:20:46,327 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-20 22:20:46,329 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-20 22:20:46,329 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084385, 'timeout': 20} files=None"
2019-03-20 22:21:06,391 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-20 22:21:06,403 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
2019-03-20 22:21:06,404 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-20 22:21:06,405 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-20 22:21:06,405 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084385, 'timeout': 20} files=None"
2019-03-20 22:21:26,463 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-20 22:21:26,464 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
2019-03-20 22:21:26,465 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-20 22:21:26,467 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-20 22:21:26,467 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084385, 'timeout': 20} files=None"
2019-03-20 22:21:46,532 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-20 22:21:46,534 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
2019-03-20 22:21:46,535 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-20 22:21:46,537 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-20 22:21:46,537 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084385, 'timeout': 20} files=None"
2019-03-20 22:22:06,608 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-20 22:22:06,610 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
2019-03-20 22:22:06,611 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-20 22:22:06,612 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-20 22:22:06,613 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084385, 'timeout': 20} files=None"
2019-03-20 22:22:26,677 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-20 22:22:26,679 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
2019-03-20 22:22:26,679 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-20 22:22:26,681 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-20 22:22:26,682 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084385, 'timeout': 20} files=None"
2019-03-20 22:22:46,747 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-20 22:22:46,749 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
2019-03-20 22:22:46,749 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-20 22:22:46,751 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-20 22:22:46,752 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084385, 'timeout': 20} files=None"
2019-03-20 22:23:06,829 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-20 22:23:06,831 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
2019-03-20 22:23:06,831 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-20 22:23:06,833 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-20 22:23:06,834 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084385, 'timeout': 20} files=None"
2019-03-20 22:23:26,899 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-20 22:23:26,900 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
2019-03-20 22:23:26,901 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-20 22:23:26,902 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-20 22:23:26,903 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084385, 'timeout': 20} files=None"
2019-03-20 22:23:46,970 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-20 22:23:46,972 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
2019-03-20 22:23:46,972 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-20 22:23:46,974 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
