2019-03-19 19:34:25,621 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-19 19:34:25,623 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-19 19:34:25,624 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084363, 'timeout': 20} files=None"
2019-03-19 19:34:45,682 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-19 19:34:45,684 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
2019-03-19 19:34:45,684 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-19 19:34:45,686 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-19 19:34:45,688 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084363, 'timeout': 20} files=None"
2019-03-19 19:35:05,748 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-19 19:35:05,759 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
2019-03-19 19:35:05,760 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-19 19:35:05,761 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-19 19:35:05,762 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084363, 'timeout': 20} files=None"
2019-03-19 19:35:25,821 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-19 19:35:25,822 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
2019-03-19 19:35:25,823 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-19 19:35:25,825 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-19 19:35:25,827 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084363, 'timeout': 20} files=None"
2019-03-19 19:35:45,886 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-19 19:35:45,887 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
2019-03-19 19:35:45,888 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-19 19:35:45,890 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-19 19:35:45,891 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084363, 'timeout': 20} files=None"
2019-03-19 19:36:05,950 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-19 19:36:05,964 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
2019-03-19 19:36:05,965 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-19 19:36:05,967 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-19 19:36:05,968 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084363, 'timeout': 20} files=None"
2019-03-19 19:36:26,038 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-19 19:36:26,040 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
2019-03-19 19:36:26,040 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-19 19:36:26,042 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-19 19:36:26,043 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084363, 'timeout': 20} files=None"
2019-03-19 19:36:45,405 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[{"update_id":819084363,\n"message":{"message_id":135,"from":{"id":478030647,"is_bot":false,"first_name":"Caste","username":"EnricoCastelli","language_code":"en"},"chat":{"id":478030647,"first_name":"Caste","username":"EnricoCastelli","type":"private"},"date":1553020605,"text":"/epoch","entities":[{"offset":0,"length":6,"type":"bot_command"}]}}]}''"
2019-03-19 19:36:45,406 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 1 new updates"
2019-03-19 19:36:45,407 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-19 19:36:45,408 (util.py:56 WorkerThread2) DEBUG - TeleBot: "Received task"
2019-03-19 19:36:45,408 (apihelper.py:45 WorkerThread2) DEBUG - TeleBot: "Request: method=post url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/sendMessage params={'chat_id': '478030647', 'text': 1553020605, 'reply_to_message_id': 135} files=None"
2019-03-19 19:36:45,415 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-19 19:36:45,417 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084364, 'timeout': 20} files=None"
2019-03-19 19:36:45,490 (apihelper.py:55 WorkerThread2) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":{"message_id":136,"from":{"id":798083745,"is_bot":true,"first_name":"PiBot","username":"MySuperPersonalPrivateTestBot"},"chat":{"id":478030647,"first_name":"Caste","username":"EnricoCastelli","type":"private"},"date":1553020605,"reply_to_message":{"message_id":135,"from":{"id":478030647,"is_bot":false,"first_name":"Caste","username":"EnricoCastelli","language_code":"en"},"chat":{"id":478030647,"first_name":"Caste","username":"EnricoCastelli","type":"private"},"date":1553020605,"text":"/epoch","entities":[{"offset":0,"length":6,"type":"bot_command"}]},"text":"1553020605"}}''"
2019-03-19 19:36:45,492 (util.py:60 WorkerThread2) DEBUG - TeleBot: "Task complete"
2019-03-19 19:37:05,466 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-19 19:37:05,477 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
2019-03-19 19:37:05,478 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-19 19:37:05,480 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-19 19:37:05,480 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084364, 'timeout': 20} files=None"
2019-03-19 19:37:25,545 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-19 19:37:25,546 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
2019-03-19 19:37:25,547 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-19 19:37:25,549 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-19 19:37:25,550 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084364, 'timeout': 20} files=None"
2019-03-19 19:37:45,608 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-19 19:37:45,609 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
2019-03-19 19:37:45,610 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-19 19:37:45,611 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-19 19:37:45,612 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084364, 'timeout': 20} files=None"
2019-03-19 19:38:05,670 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-19 19:38:05,681 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
2019-03-19 19:38:05,682 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-19 19:38:05,683 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-19 19:38:05,684 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084364, 'timeout': 20} files=None"
2019-03-19 19:38:25,744 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-19 19:38:25,746 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
2019-03-19 19:38:25,747 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-19 19:38:25,749 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
